addr	how	frozen	evidence
00401010	annotated	operator new	tag in lib/squall/storm/Memory.cpp
00401030	annotated	operator delete[]	tag in lib/squall/storm/Memory.cpp
00401050	callorder	CDataStore::CDataStore	same slot between linked calls in 00516610=Script_RandomRoll
00401070	annotated	CDataStore::FetchWrite	tag in lib/common/common/datastore/CDataStore.cpp
00401200	annotated	ComparePatchArchives	tag in src/client/Archive.cpp
00401280	handler	NotifyHandler	SetMessageHandler(SMSG_NOTIFICATION) on both sides
00401390	handler	PlayedTimeHandler	SetMessageHandler(SMSG_PLAYED_TIME) on both sides
00401480	handler	TransferPendingHandler	SetMessageHandler(SMSG_TRANSFER_PENDING) on both sides
004015e0	annotated	MouseSpeedCallback	tag in src/client/Client.cpp
00401600	annotated	ErrorsCallback	tag in src/client/Client.cpp
00401650	annotated	ShowErrorsCallback	tag in src/client/Client.cpp
004017c0	annotated	ErrorLevelMinCallback	tag in src/client/Client.cpp
00401800	annotated	ErrorLevelMaxCallback	tag in src/client/Client.cpp
00401a10	annotated	ErrorFilterCallback	tag in src/client/Client.cpp
00401a30	cvar	GammaCallback	callback of CVar::Register("Gamma") on both sides
00401a80	cvar	DesktopGammaCallback	callback of CVar::Register("DesktopGamma") on both sides
00401b20	annotated	ScreenshotFormatCallback	tag in src/client/Client.cpp
00401b40	annotated	ScreenshotQualityCallback	tag in src/client/Client.cpp
00401b60	annotated	ClientRegisterConsoleCommands	tag in src/client/Client.cpp
00402100	annotated	M2ConvertFasterFlags	tag in src/model/Model2.cpp
004021c0	annotated	M2FasterChanged	tag in src/model/Model2.cpp
00402210	annotated	M2DebugFasterChanged	tag in src/model/Model2.cpp
00402250	cvar	UIFasterCalllback	callback of CVar::Register("UIFaster") on both sides
00402320	cvar	TextureCacheSizeCallback	callback of CVar::Register("textureCacheSize") on both sides
004023c0	annotated	TextureFilteringCallback	tag in src/client/Client.cpp
00402410	cvar	BatchDoodadsCallback	callback of CVar::Register("M2BatchDoodads") on both sides
00402470	annotated	BatchParticlesCallback	tag in src/model/Model2.cpp
004024d0	annotated	ForceAdditiveParticleSortCallback	tag in src/model/Model2.cpp
00402760	string	M2RegisterCVars	unique "M2BatchDoodads"
00402b90	annotated	HasCommonArchiveLayout	tag in src/client/Archive.cpp
00403320	cvar	LocaleChangedCallback	callback of CVar::Register("locale") on both sides
004033c0	sticky	CGTooltip::GetObjectType	held from the previous run, where it was sticky
00403760	callgraph	TSGrowableArray<char *>::Reserve	only unmatched callee of 00405a10=AddPatchArchive
00403880	override	CDataStore::~CDataStore	
004038f0	annotated	CGPlayer_C::GetActivePtr	tag in src/object/client/CGPlayer_C.cpp
00403910	handler	TransferAbortedHandler	SetMessageHandler(SMSG_TRANSFER_ABORTED) on both sides
00403b70	callorder	LoadNewWorld	same slot between linked calls in 00403de0=LoginVerifyWorldHandler
00403d10	handler	NewWorldHandler	SetMessageHandler(SMSG_NEW_WORLD) on both sides
00403de0	handler	LoginVerifyWorldHandler	SetMessageHandler(SMSG_LOGIN_VERIFY_WORLD) on both sides
00404930	annotated	OpenTableArchive	tag in src/client/Archive.cpp
00405540	string	ClientInitializeGame	unique "Bad zone ID %i"
00405a10	annotated	AddPatchArchive	tag in src/client/Archive.cpp
00405ab0	annotated	BuildPatchArchiveList	tag in src/client/Archive.cpp
00405dd0	annotated	Sub405DD0	tag in src/client/Client.cpp
00406740	annotated	ProcessRunOnceFiles	tag in src/client/Client.cpp
004067f0	string	InitializeGlobal	unique "Config.wtf"
00406b70	annotated	Sub406B70	tag in src/client/Client.cpp
004079d0	annotated	CalcProgress	tag in src/gx/LoadingScreen.cpp
00407b00	annotated	RegisterEvents	tag in src/gx/LoadingScreen.cpp
00407bd0	annotated	UnregisterEvents	tag in src/gx/LoadingScreen.cpp
00407e30	annotated	LoadingScreenSetTip	tag in src/gx/LoadingScreen.cpp
00407f40	annotated	C44Matrix::Identity	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
00408070	callorder	GxXformViewport	same slot between linked calls in 0040a270=Paint
00408490	override	TSGrowableArray<unsigned __int64>::Reserve	
00408520	annotated	KeepAlive	tag in src/gx/LoadingScreen.cpp
00408bf0	annotated	GxRsSet	tag in src/gx/RenderState.cpp
004090c0	annotated	DrawBar	tag in src/gx/LoadingScreen.cpp
00409550	annotated	LoadingScreenFinish	tag in src/gx/LoadingScreen.cpp
00409670	override	GxRsPush	
00409800	annotated	ClientPlayerModelReady	tag in src/client/Client.cpp
00409ed0	annotated	LoadBackgroundTexture	tag in src/gx/LoadingScreen.cpp
0040a270	annotated	Paint	tag in src/gx/LoadingScreen.cpp
0040a920	annotated	LoadingScreenUpdate	tag in src/gx/LoadingScreen.cpp
0040a990	annotated	Begin	tag in src/gx/LoadingScreen.cpp
0040ab70	annotated	LoadingScreenStart	tag in src/gx/LoadingScreen.cpp
0040aef0	annotated	LoadingScreenSetProgress2	tag in src/gx/LoadingScreen.cpp
0040af90	annotated	LoadingScreenSetProgress	tag in src/gx/LoadingScreen.cpp
004209b0	callgraph	CVar::GetInt	only unmatched callee of 00401b60=ClientRegisterConsoleCommands
00421880	callgraph	SFile::GetBasePath	only unmatched callee of 00768340=CVar::Initialize
004218c0	callorder	SFile::GetFileSize	same slot between linked calls in 004b8910=CreateBlpSync
00421ca0	callorder	SFile::Unload	same slot between linked calls in 004dcd60=Script_GetCreditsText
00421f50	string	CalculateMpqHashSha1	unique "ARCHIVE"
00422130	override	SFile::IsStreamingMode	
00422140	callgraph	SFile::IsStreamingTrial	only unmatched callee of 004e0dd0=Script_GetCreateBackgroundModel
00422530	override	SFile::Read	
00422910	override	SFile::Close	
00424b10	sticky	FrameXML_SetProgressCallback	held from the previous run, where it was sticky
00424b50	override	SFile::OpenEx	
00424e80	callorder	SFile::Load	same slot between linked calls in 0096da40=CSimpleHTML::LoadXML
00424f80	sticky	SFile::Open	held from the previous run, where it was sticky
00428210	annotated	OsFileMatch	tag in src/util/Filesystem.cpp
00462000	callgraph	OsFileEnumerate	only unmatched callee of 00406740=ProcessRunOnceFiles
00464580	annotated	CRandom::uint32	tag in lib/typhoon/tempest/random/CRandom.cpp
00464640	string	RealmConnection::HandleAuthResponse	unique "SMSG_AUTH_RESPONSE"
00464b30	callgraph	CDataStore::IsRead	only unmatched callee of 00464c10=RealmConnection::HandleCharEnum
00464c10	string	RealmConnection::HandleCharEnum	unique "SMSG_CHAR_ENUM"
00469320	string	WowConnectionNet::Start	unique "NetThread %d"
004749b0	callorder	BZ2_bz__AssertH__fail	same slot between linked calls in 0047ac70=BZ2_blockSort
00474f50	override	sendMTFValues	
00476db0	override	BZ2_decompress	
00479860	string	fallbackSort	unique "        depth %6d has "
0047a5d0	override	mainSort	
0047ac70	string	BZ2_blockSort	unique "      %d work, %d block, ratio %5.2f "
0047ae50	override	CDataStore::InternalDestroy	
0047af40	annotated	CDataStore::Set	tag in lib/common/common/datastore/CDataStore.cpp
0047afe0	override	CDataStore::Put	
0047b040	annotated	CDataStore::Put	tag in lib/common/common/datastore/CDataStore.cpp
0047b0a0	override	CDataStore::Put	
0047b100	override	CDataStore::Put	
0047b1c0	annotated	CDataStore::PutArray	tag in lib/common/common/datastore/CDataStore.cpp
0047b280	annotated	CDataStore::PutData	tag in lib/common/common/datastore/CDataStore.cpp
0047b290	override	CDataStore::FetchRead	
0047b300	override	CDataStore::PutString	
0047b340	override	CDataStore::Get	
0047b3c0	override	CDataStore::Get	
0047b400	override	CDataStore::Get	
0047b440	override	CDataStore::Get	
0047b480	override	CDataStore::GetString	
0047be50	sticky	SUniSPutUTF8	held from the previous run, where it was sticky
0047bf30	override	HandleClose	
0047bf50	override	HandleCreate	
0047bf70	callgraph	HandleDuplicate	only unmatched callee of 00978bf0=CM2ParticleEmitter::SetMaterial
0047bf90	override	CoordinateSetAspectRatio	
0047bfe0	override	CoordinateGetAspectCompensation	
0047bff0	annotated	NDCToDDC	tag in src/gx/Coordinate.cpp
0047c020	annotated	DDCToNDC	tag in src/gx/Coordinate.cpp
0047c050	override	DDCToNDCWidth	
0047c060	annotated	DDCToNDCHeight	tag in src/gx/Coordinate.cpp
0047c070	override	NDCToDDCWidth	
0047c080	annotated	NDCToDDCHeight	tag in src/gx/Coordinate.cpp
0047c360	sticky	CStatus::Add	held from the previous run, where it was sticky
0047cc90	override	operator delete	
0047cf80	override	RCString::Copy	
0047d230	callgraph	EventIsKeyDown	only unmatched callee of 00514430=Script_IsModifierKeyDown, 005144c0=Script_IsLeftShiftKeyDown, 00514520=Script_IsRightShiftKeyDown
0047d3c0	callgraph	EventRegisterEx	only unmatched callee of 00407b00=RegisterEvents
0047d790	callorder	EventUnregister	same slot between linked calls in 009860e0=SI2::StopGlueMusic
0047f230	string	SchedulerThreadProc	unique "Engine %x"
0047f2f0	string	IEvtSchedulerInitialize	unique "EvtSched#%d"
004815e0	callgraph	CSimpleTexture::GetObjectType	only unmatched callee of 0048c670=CSimpleTexture_GetTexture
00481620	annotated	CSimpleTexture::SetBlendMode	tag in src/ui/simple/CSimpleTexture.cpp
00481640	callgraph	CSimpleTexture::SetTexCoord	only unmatched callee of 0048c860=CSimpleTexture_SetRotation
004816a0	annotated	CSimpleTexture::GetTexCoord	tag in src/ui/simple/CSimpleTexture.cpp
00481700	callgraph	CSimpleTexture::SetShader	only unmatched callee of 0048c9a0=CSimpleTexture_SetDesaturated
00481740	annotated	CSimpleTexture::AddAnimTranslation	tag in src/ui/simple/CSimpleTexture.cpp
00481770	annotated	CSimpleTexture::AddAnimRotation	tag in src/ui/simple/CSimpleTexture.cpp
004817a0	annotated	CSimpleTexture::AddAnimScale	tag in src/ui/simple/CSimpleTexture.cpp
004817d0	annotated	CSimpleTexture::GetWidth	tag in src/ui/simple/CSimpleTexture.cpp
00481850	annotated	CSimpleTexture::GetHeight	tag in src/ui/simple/CSimpleTexture.cpp
004818f0	callorder	CSimpleFontString::SetTextLength	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
00482110	callorder	LanguageProcess	same slot between linked calls in 00483910=CSimpleFontString::SetText
004826d0	annotated	CRect::Sub4826D0	tag in lib/typhoon/tempest/rect/CRect.cpp
00482720	annotated	CSimpleFontString::AddAnimTranslation	tag in src/ui/simple/CSimpleFontString.cpp
00482aa0	override	FrameScript_Object::GetDisplayName	
00482d10	callgraph	CSimpleFontString::SetFont	only unmatched callee of 004a3a50=FontString_SetFont
00483060	string	CSimpleTexture::Init	unique "Desaturate"
004831d0	callgraph	lua_gettop	only unmatched callee of 0048e170=CSimpleTexture_SetTexCoord
00483290	callgraph	CSimpleTexture::GetImageModePixelShader	only unmatched callee of 00511fb0=Script_IsDesaturateSupported
00483890	annotated	CSimpleFontString::SetTextHeight	tag in src/ui/simple/CSimpleFontString.cpp
00483910	callorder	CSimpleFontString::SetText	same slot between linked calls in 0048d780=CSimpleFontString_SetText, 0048d800=CSimpleFontString_SetFormattedText
00483cd0	callorder	CSimpleFontString::AddShadow	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
00483dd0	annotated	CSimpleFontString::SetShadowOffset	tag in src/ui/simple/CSimpleFontString.cpp
00485160	callorder	CSimpleFontable::SetFontObject	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
004859e0	callorder	CSimpleTexture::SetTexture	same slot between linked calls in 0048c6f0=CSimpleTexture_SetTexture, 0057e100=CGMinimapFrame_SetPlayerTexture
00485f40	override	CSimpleTexture::LoadXML	
00486b20	override	CSimpleFontString::UpdateString	
004870d0	override	CSimpleFontString::SetSpacing	
00487130	annotated	CSimpleFontString::SetShadowColor	tag in src/ui/simple/CSimpleFontString.cpp
00487190	override	CSimpleFontString::SetJustifyH	
004871d0	override	CSimpleFontString::SetJustifyV	
00487210	callorder	CSimpleFontString::SetNonWordWrap	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
00487250	callorder	CSimpleFontString::SetNonSpaceWrap	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
004872a0	override	CSimpleFontString::SetIndentedWordWrap	
004873e0	string	CSimpleFontString::LoadXML	unique "FontString %s: Unable to load font file %s"
00487a10	callorder	CSimpleRegion::SetVertexColor	same slot between linked calls in 0048c1c0=CSimpleTexture_SetVertexColor, 0048cf30=CSimpleFontString_SetVertexColor
00487ab0	annotated	CSimpleFontString::GetTextColor	tag in src/ui/simple/CSimpleFontString.cpp
00487b00	callgraph	CSimpleRegion::SetVertexGradient	only unmatched callee of 0048c310=CSimpleTexture_SetGradientAlpha
00487bf0	override	CSimpleRegion::Hide	
00487c40	override	CSimpleRegion::Show	
00487ca0	callgraph	CSimpleRegion::OnRegionChanged	only unmatched callee of 00481620=CSimpleTexture::SetBlendMode, 00481740=CSimpleTexture::AddAnimTranslation, 00481770=CSimpleTexture::AddAnimRotation
00487ce0	annotated	CSimpleRegion::AddAnimAlpha	tag in src/ui/simple/CSimpleRegion.cpp
00487ed0	callorder	CSimpleRegion::SetFrame	same slot between linked calls in 0096f3c0=CSimpleButton::SetHighlight, 0096f920=CSimpleButton::SetStateTexture
004883f0	annotated	CScriptRegion::LoadXML_Animations	tag in src/ui/CScriptRegion.cpp
00488540	override	CScriptRegion::ProtectedFunctionsAllowed	
00488670	override	CScriptRegion::LoadXML	
00488cf0	callorder	CLayoutFrame::IsResizePending	same slot between linked calls in 004951a0=CSimpleTop::RaiseFrame, 0049ce50=CScriptRegion_GetRect, 0049cf90=CScriptRegion_GetCenter
00488d00	callgraph	CLayoutFrame::GetHeight	only unmatched callee of 00481850=CSimpleTexture::GetHeight
00488d10	callgraph	CLayoutFrame::GetWidth	only unmatched callee of 004817d0=CSimpleTexture::GetWidth
00488db0	annotated	CLayoutFrame::Sub488DB0	tag in src/ui/CLayoutFrame.cpp
00488e40	annotated	CLayoutFrame::Sub488E40	tag in src/ui/CLayoutFrame.cpp
00489190	annotated	CLayoutFrame::Sub489190	tag in src/ui/CLayoutFrame.cpp
004891d0	callorder	CLayoutFrame::IsResizeDependency	same slot between linked calls in 0049db10=CScriptRegion_SetPoint
00489230	callorder	CLayoutFrame::GetRect	same slot between linked calls in 0049ce50=CScriptRegion_GetRect, 0049cf90=CScriptRegion_GetCenter, 0049d0b0=CScriptRegion_GetLeft
00489690	annotated	CSimpleFrame::SetProtected	tag in src/ui/simple/CSimpleFrame.cpp
004896c0	callgraph	CLayoutFrame::SetProtectFlag	only unmatched callee of 00489190=CLayoutFrame::Sub489190
00489710	callorder	CLayoutFrame::AddToResizeList	same slot between linked calls in 00489de0=CLayoutFrame::Resize
004898b0	sticky	CLayoutFrame::ResizePending	held from the previous run, where it was sticky
00489de0	override	CLayoutFrame::Resize	
0048a130	annotated	CSimpleFrame::SetClampedToScreen	tag in src/ui/simple/CSimpleFrame.cpp
0048a260	annotated	CLayoutFrame::SetPoint	tag in src/ui/CLayoutFrame.cpp
0048a3e0	callorder	CLayoutFrame::SetAllPoints	same slot between linked calls in 0048b2d0=CLayoutFrame::LoadXML, 0049de40=CScriptRegion_SetAllPoints
0048a510	override	CLayoutFrame::ClearAllPoints	
0048a520	callorder	CLayoutFrame::SetDeferredResize	same slot between linked calls in 0049c830=CFramePoint::GetRelativeRect
0048b2d0	string	CLayoutFrame::LoadXML	unique "Anchors"
0048b540	string	CScriptObject::CreateName	unique "$parent"
0048b5f0	callgraph	CScriptObject::GetScriptObjectByName	only unmatched callee of 004e05b0=Script_SetCharCustomizeFrame, 004e2f60=Script_SetCharSelectModelFrame
0048b7b0	annotated	AnimQuadTranslate	tag in src/ui/simple/CSimpleRegion.cpp
0048b890	annotated	AnimQuadPivot	tag in src/ui/simple/CSimpleRegion.cpp
0048ba80	annotated	AnimQuadRotate	tag in src/ui/simple/CSimpleRegion.cpp
0048bb80	annotated	AnimQuadScale	tag in src/ui/simple/CSimpleRegion.cpp
0048bc70	annotated	CSimpleFontString_GetFieldSize	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048bd20	callgraph	CImVector::Set	only unmatched callee of 004a2d40=CBackdropGenerator::CBackdropGenerator
0048bde0	table	CSimpleTexture_GetObjectType	binding "GetObjectType" in SimpleTextureMethods ~ table 00ac1028
0048be30	annotated	CSimpleTexture_IsObjectType	tag in src/ui/simple/CSimpleTextureScript.cpp
0048bee0	annotated	CSimpleTexture_GetDrawLayer	tag in src/ui/simple/CSimpleTextureScript.cpp
0048bf30	table	CSimpleTexture_SetDrawLayer	binding "SetDrawLayer" in SimpleTextureMethods ~ table 00ac1028
0048bff0	annotated	CSimpleTexture_GetBlendMode	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c040	annotated	CSimpleTexture_SetBlendMode	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c0e0	annotated	CSimpleTexture_GetVertexColor	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c1c0	table	CSimpleTexture_SetVertexColor	binding "SetVertexColor" in SimpleTextureMethods ~ table 00ac1028
0048c240	table	CSimpleTexture_SetGradient	binding "SetGradient" in SimpleTextureMethods ~ table 00ac1028
0048c310	annotated	CSimpleTexture_SetGradientAlpha	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c3e0	table	CSimpleTexture_SetAlpha	binding "SetAlpha" in SimpleTextureMethods ~ table 00ac1028
0048c4c0	table	CSimpleTexture_GetAlpha	binding "GetAlpha" in SimpleTextureMethods ~ table 00ac1028
0048c530	table	CSimpleTexture_Show	binding "Show" in SimpleTextureMethods ~ table 00ac1028
0048c570	table	CSimpleTexture_Hide	binding "Hide" in SimpleTextureMethods ~ table 00ac1028
0048c5b0	table	CSimpleTexture_IsVisible	binding "IsVisible" in SimpleTextureMethods ~ table 00ac1028
0048c610	table	CSimpleTexture_IsShown	binding "IsShown" in SimpleTextureMethods ~ table 00ac1028
0048c670	table	CSimpleTexture_GetTexture	binding "GetTexture" in SimpleTextureMethods ~ table 00ac1028
0048c6f0	table	CSimpleTexture_SetTexture	binding "SetTexture" in SimpleTextureMethods ~ table 00ac1028
0048c7f0	annotated	CSimpleTexture_GetTexCoord	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c860	annotated	CSimpleTexture_SetRotation	tag in src/ui/simple/CSimpleTextureScript.cpp
0048c9a0	table	CSimpleTexture_SetDesaturated	binding "SetDesaturated" in SimpleTextureMethods ~ table 00ac1028
0048ca30	annotated	CSimpleTexture_IsDesaturated	tag in src/ui/simple/CSimpleTextureScript.cpp
0048caa0	annotated	CSimpleTexture_SetNonBlocking	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cb00	annotated	CSimpleTexture_GetNonBlocking	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cb60	annotated	CSimpleTexture_SetHorizTile	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cbc0	annotated	CSimpleTexture_GetHorizTile	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cc30	annotated	CSimpleTexture_SetVertTile	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cc90	annotated	CSimpleTexture_GetVertTile	tag in src/ui/simple/CSimpleTextureScript.cpp
0048cd20	table	CSimpleFontString_GetObjectType	binding "GetObjectType" in SimpleFontStringMethods ~ table 00ac1118
0048cd70	table	CSimpleFontString_IsObjectType	binding "IsObjectType" in SimpleFontStringMethods ~ table 00ac1118
0048ce20	annotated	CSimpleFontString_GetDrawLayer	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048ce70	table	CSimpleFontString_SetDrawLayer	binding "SetDrawLayer" in SimpleFontStringMethods ~ table 00ac1118
0048cf30	table	CSimpleFontString_SetVertexColor	binding "SetVertexColor" in SimpleFontStringMethods ~ table 00ac1118
0048cfc0	annotated	CSimpleFontString_GetAlpha	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048d030	table	CSimpleFontString_SetAlpha	binding "SetAlpha" in SimpleFontStringMethods ~ table 00ac1118
0048d0f0	annotated	CSimpleFontString_SetAlphaGradient	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048d1c0	table	CSimpleFontString_Show	binding "Show" in SimpleFontStringMethods ~ table 00ac1118
0048d200	table	CSimpleFontString_Hide	binding "Hide" in SimpleFontStringMethods ~ table 00ac1118
0048d240	table	CSimpleFontString_IsVisible	binding "IsVisible" in SimpleFontStringMethods ~ table 00ac1118
0048d2a0	table	CSimpleFontString_IsShown	binding "IsShown" in SimpleFontStringMethods ~ table 00ac1118
0048d300	table	CSimpleFontString_GetFontObject	binding "GetFontObject" in SimpleFontStringMethods ~ table 00ac1118
0048d380	table	CSimpleFontString_SetFontObject	binding "SetFontObject" in SimpleFontStringMethods ~ table 00ac1118
0048d510	table	CSimpleFontString_GetFont	binding "GetFont" in SimpleFontStringMethods ~ table 00ac1118
0048d5b0	table	CSimpleFontString_SetFont	binding "SetFont" in SimpleFontStringMethods ~ table 00ac1118
0048d730	table	CSimpleFontString_GetText	binding "GetText" in SimpleFontStringMethods ~ table 00ac1118
0048d780	table	CSimpleFontString_SetText	binding "SetText" in SimpleFontStringMethods ~ table 00ac1118
0048d800	table	CSimpleFontString_SetFormattedText	binding "SetFormattedText" in SimpleFontStringMethods ~ table 00ac1118
0048d890	table	CSimpleFontString_GetTextColor	binding "GetTextColor" in SimpleFontStringMethods ~ table 00ac1118
0048d970	table	CSimpleFontString_SetTextColor	binding "SetTextColor" in SimpleFontStringMethods ~ table 00ac1118
0048d9e0	table	CSimpleFontString_GetShadowColor	binding "GetShadowColor" in SimpleFontStringMethods ~ table 00ac1118
0048dab0	table	CSimpleFontString_SetShadowColor	binding "SetShadowColor" in SimpleFontStringMethods ~ table 00ac1118
0048db20	table	CSimpleFontString_GetShadowOffset	binding "GetShadowOffset" in SimpleFontStringMethods ~ table 00ac1118
0048dbb0	table	CSimpleFontString_SetShadowOffset	binding "SetShadowOffset" in SimpleFontStringMethods ~ table 00ac1118
0048dca0	table	CSimpleFontString_GetSpacing	binding "GetSpacing" in SimpleFontStringMethods ~ table 00ac1118
0048dd00	table	CSimpleFontString_SetSpacing	binding "SetSpacing" in SimpleFontStringMethods ~ table 00ac1118
0048ddb0	annotated	CSimpleFontString_SetTextHeight	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048de90	table	CSimpleFontString_GetStringWidth	binding "GetStringWidth" in SimpleFontStringMethods ~ table 00ac1118
0048df00	table	CSimpleFontString_GetStringHeight	binding "GetStringHeight" in SimpleFontStringMethods ~ table 00ac1118
0048df70	table	CSimpleFontString_GetJustifyH	binding "GetJustifyH" in SimpleFontStringMethods ~ table 00ac1118
0048dfc0	table	CSimpleFontString_GetJustifyV	binding "GetJustifyV" in SimpleFontStringMethods ~ table 00ac1118
0048e010	annotated	CSimpleFontString_CanNonSpaceWrap	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048e080	annotated	CSimpleFontString_CanWordWrap	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048e0e0	table	CSimpleFontString_SetIndentedWordWrap	binding "SetIndentedWordWrap" in SimpleFontStringMethods ~ table 00ac1118
0048e170	table	CSimpleTexture_SetTexCoord	binding "SetTexCoord" in SimpleTextureMethods ~ table 00ac1028
0048e360	table	CSimpleFontString_SetJustifyH	binding "SetJustifyH" in SimpleFontStringMethods ~ table 00ac1118
0048e430	table	CSimpleFontString_SetJustifyV	binding "SetJustifyV" in SimpleFontStringMethods ~ table 00ac1118
0048e500	annotated	CSimpleFontString_SetNonSpaceWrap	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048e580	annotated	CSimpleFontString_SetWordWrap	tag in src/ui/simple/CSimpleFontStringScript.cpp
0048e600	table	CSimpleFontString_GetIndentedWordWrap	binding "GetIndentedWordWrap" in SimpleFontStringMethods ~ table 00ac1118
0048e680	string	CSimpleFrame::GetScriptByName	unique "OnAttributeChanged"
0048e970	callorder	CSimpleFrame::SetFrameFlag	same slot between linked calls in 0049fbb0=CSimpleFrame_SetToplevel, 004a0800=CSimpleFrame_SetMovable, 004a08c0=CSimpleFrame_SetDontSavePosition
0048e9a0	override	CSimpleFrame::Raise	
0048ea10	sticky	CSimpleFrame::SetFrameAlpha	held from the previous run, where it was sticky
0048eac0	annotated	CSimpleFrame::GetHitRectInsets	tag in src/ui/simple/CSimpleFrame.cpp
0048ed30	override	CSimpleFrame::AttributeChangesAllowed	
0048f1f0	string	CSimpleFrame::LoadXML_Layers	unique "Frame %s: Unknown child node in %s element: %s"
0048f400	string	CSimpleFrame::PostLoadXML_Frames	unique "Frames"
0048f580	sticky	CSimpleFrame::SetFrameScale	held from the previous run, where it was sticky
0048f5d0	annotated	CSimpleFrame::SetDepth	tag in src/ui/simple/CSimpleFrame.cpp
0048f620	override	CSimpleFrame::Hide	
0048f660	override	CSimpleFrame::Show	
0048f6a0	override	CSimpleFrame::EnableEvent	
0048f6f0	override	CSimpleFrame::DisableEvent	
0048f820	override	CSimpleFrame::SetHitRectInsets	
0048fef0	string	CSimpleFrame::LoadXML_Scripts	unique "Frame %s: Unknown function %s in element %s"
00490270	callgraph	CSimpleFrame::NotifyDrawLayerChanged	only unmatched callee of 00487ca0=CSimpleRegion::OnRegionChanged
00490410	annotated	CSimpleFrame::PostLoadXML	tag in src/ui/simple/CSimpleFrame.cpp
004905a0	override	CSimpleFrame::SetBackdrop	
00490600	sticky	CSimpleFrame::EnableDrawLayer	held from the previous run, where it was sticky
00490620	sticky	CSimpleFrame::DisableDrawLayer	held from the previous run, where it was sticky
00491020	override	CSimpleFrame::SetFrameStrata	
004910a0	override	CSimpleFrame::SetFrameLevel	
004926f0	string	FrameXML_RegisterDefault	score 0.50 shared Frame
00492be0	callorder	CSimpleFrame::GetAttribute	same slot between linked calls in 0049f2d0=CSimpleFrame_GetAttribute
00492c10	order	CSimpleFrame::GetBoundsRect	definition order between CSimpleFrame::GetAttribute and CSimpleFrame::IsA in src/ui/simple/CSimpleFrame.cpp
00492c70	order	CSimpleFrame::GetHitRect	definition order between CSimpleFrame::GetAttribute and CSimpleFrame::IsA in src/ui/simple/CSimpleFrame.cpp
00492e70	override	CSimpleFrame::IsA	
00492f10	order	CSimpleFrame::HideThis	definition order between CSimpleFrame::IsA and CSimpleFrame::LoadXML_Attributes in src/ui/simple/CSimpleFrame.cpp
00492f70	string	CSimpleFrame::LoadXML_Attributes	unique "Attribute"
004932c0	annotated	CSimpleFrame::LoadXML	tag in src/ui/simple/CSimpleFrame.cpp
00493ad0	callgraph	CSimpleFrame::RunOnLeaveScript	only unmatched callee of 00495710=CSimpleFrame::OnLayerCursorExit
00494d20	override	CFrameStrata::FrameOccluded	
00495060	callorder	CSimpleTop::CompressStrata	same slot between linked calls in 004951a0=CSimpleTop::RaiseFrame
004951a0	callgraph	CSimpleTop::RaiseFrame	only unmatched callee of 0048e9a0=CSimpleFrame::Raise
00495670	callgraph	CSimpleSortedArray<FRAMEPRIORITY *>::Insert	only unmatched callee of 00495880=CSimpleTop::RegisterForEvent
00495710	callgraph	CSimpleFrame::OnLayerCursorExit	only unmatched callee of 00495900=CSimpleTop::UnregisterForEvent
00495880	callgraph	CSimpleTop::RegisterForEvent	only unmatched callee of 0048f6a0=CSimpleFrame::EnableEvent
00495900	callgraph	CSimpleTop::UnregisterForEvent	only unmatched callee of 0048f6f0=CSimpleFrame::DisableEvent
00496390	override	CSimpleFontStringAttributes::SetJustifyH	
004963c0	override	CSimpleFontStringAttributes::SetJustifyV	
00496f70	callorder	CSimpleFont::GetFont	same slot between linked calls in 004a2240=CSimpleFrame_CreateFontString, 00977340=CSimpleButton_SetNormalFontObject, 009774c0=CSimpleButton_SetDisabledFontObject
00497070	string	CSimpleFont::LoadXML	unique "Couldn't find inherited font: %s"
00497500	annotated	CSimpleAnim::GetScriptByName	tag in src/ui/simple/CSimpleAnim.cpp
00497700	annotated	CSimpleAnim::OnUnapply	tag in src/ui/simple/csimpleanim.hpp
