addr	how	frozen	evidence
0062ff60	table	CGTooltip_SetBuybackItem	binding "SetBuybackItem" in CGTooltipMethods ~ table 00ad2ae0
006300a0	table	CGTooltip_SetLootRollItem	binding "SetLootRollItem" in CGTooltipMethods ~ table 00ad2ae0
006301a0	table	CGTooltip_SetSocketedItem	binding "SetSocketedItem" in CGTooltipMethods ~ table 00ad2ae0
00630250	table	CGTooltip_SetSocketGem	binding "SetSocketGem" in CGTooltipMethods ~ table 00ad2ae0
00630370	table	CGTooltip_SetExistingSocketGem	binding "SetExistingSocketGem" in CGTooltipMethods ~ table 00ad2ae0
006304a0	table	CGTooltip_SetGuildBankItem	binding "SetGuildBankItem" in CGTooltipMethods ~ table 00ad2ae0
00630620	table	CGTooltip_SetCurrencyToken	binding "SetCurrencyToken" in CGTooltipMethods ~ table 00ad2ae0
006307e0	table	CGTooltip_SetBackpackToken	binding "SetBackpackToken" in CGTooltipMethods ~ table 00ad2ae0
00630990	table	CGTooltip_SetQuestLogSpecialItem	binding "SetQuestLogSpecialItem" in CGTooltipMethods ~ table 00ad2ae0
00630a80	table	CGTooltip_SetLFGDungeonReward	binding "SetLFGDungeonReward" in CGTooltipMethods ~ table 00ad2ae0
00630b90	table	CGTooltip_SetLFGCompletionReward	binding "SetLFGCompletionReward" in CGTooltipMethods ~ table 00ad2ae0
00631000	table	CGTooltip_SetAction	binding "SetAction" in CGTooltipMethods ~ table 00ad2ae0
00631b60	table	CGTooltip_SetHyperlinkCompareItem	binding "SetHyperlinkCompareItem" in CGTooltipMethods ~ table 00ad2ae0
00631fc0	annotated	NetClient::ClearMessageHandler	tag in src/net/connection/NetClient.cpp
00632b50	override	NetClient::Send	
00635190	handler	ReceiveCreatureQueryResponse	SetMessageHandler(SMSG_QUERY_CREATURE_RESPONSE) on both sides
006354d0	handler	ReceiveItemQueryResponse	SetMessageHandler(SMSG_ITEM_QUERY_SINGLE_RESPONSE) on both sides
006357d0	handler	ReceiveNameQueryResponse	SetMessageHandler(SMSG_QUERY_PLAYER_NAME_RESPONSE) on both sides
0065c290	override	WowClientDB<ChrClassesRec>::GetRecord	
0067cbd0	callgraph	GetI32	only unmatched callee of 006354d0=ReceiveItemQueryResponse
0067d770	override	Script_GetUnitFromName	
00681210	annotated	GxAdapterMonitorModes	tag in src/gx/Adapter.cpp
00681230	annotated	GxVertexBufferFormatSize	tag in src/gx/Buffer.cpp
00681240	callgraph	GxVertexAttribOffset	only unmatched callee of 0097a2e0=CM2ParticleEmitter::SetupVertexCursor
006813b0	override	GxSceneClear	
00681450	override	GxTexSetWrap	
00681770	annotated	GxMaxFpsSet	tag in src/gx/Gx.cpp
00681790	annotated	GxMaxFpsBkSet	tag in src/gx/Gx.cpp
00681890	callgraph	CGxDevice::XformSetViewport	only unmatched callee of 00681f60=GxXformSetViewport
00681a20	annotated	GxBufData	tag in src/gx/Buffer.cpp
00681b00	annotated	GxPrimVertexPtr	tag in src/gx/Buffer.cpp
00681be0	override	CGxTexFlags::CGxTexFlags	
00681f60	override	GxXformSetViewport	
00682a00	callorder	GxScenePresent	same slot between linked calls in 0040a920=LoadingScreenUpdate
00682d20	callgraph	GxXformProjNativeTranspose	only unmatched callee of 00872c10=CShaderEffect::UpdateProjMatrix
00682d50	annotated	CGxDevice::RenderTargetGet	tag in src/gx/CGxDevice.cpp
00682d70	override	CGxDevice::DeviceCurWindow	
00682e50	annotated	CGxDevice::ScenePresent	tag in src/gx/CGxDevice.cpp
00682e70	override	CGxDevice::ScissorSet	
00682f10	annotated	CGxDevice::PrimIndexPtr	tag in src/gx/CGxDevice.cpp
00683080	annotated	CGxDevice::LightEnable	tag in src/gx/CGxDevice.cpp
006830b0	annotated	MasterEnableChanged	tag in src/gx/d3d/CGxDeviceD3d.cpp
00683560	annotated	GxShaderConstantsLock	tag in src/gx/Shader.cpp
00683580	annotated	GxShaderConstantsUnlock	tag in src/gx/Shader.cpp
006838b0	override	TSGrowableArray<CGxPushedRenderState>::Reserve	
00683960	override	TSGrowableArray<enum EGxRenderState>::Reserve	
00684440	annotated	CGxDevice::ClipPlaneSet	tag in src/gx/CGxDevice.cpp
00684620	annotated	CGxLightState::Set	tag in src/gx/CGxDevice.cpp
006847d0	annotated	CGxDevice::LightSet	tag in src/gx/CGxDevice.cpp
00684850	annotated	CGxDevice::BufStream	tag in src/gx/CGxDevice.cpp
00684970	string	CGxDevice::IShaderLoad	unique "%s\%s\%s.bls"
00685970	override	CGxDevice::IRsDirty	
006859e0	override	CGxDevice::IRsForceUpdate	
00685a70	override	CGxDevice::IRsForceUpdate	
00685b50	override	CGxDevice::IRsSync	
00685d40	callgraph	CGxDevice::TexSetWrap	only unmatched callee of 00681450=GxTexSetWrap
00685eb0	annotated	CGxDevice::MasterEnableSet	tag in src/gx/CGxDevice.cpp
00685f50	override	CGxDevice::RsSet	
00685fb0	annotated	CGxDevice::RsPop	tag in src/gx/CGxDevice.cpp
00686120	annotated	CGxDevice::IRsInit	tag in src/gx/CGxDevice.cpp
006876d0	callgraph	CGxDevice::PoolCreate	only unmatched callee of 00687940=CGxDevice::DeviceCreatePools
00687940	string	CGxDevice::DeviceCreatePools	unique "Stream_idx"
00689a50	callgraph	CGxShader::Valid	only unmatched callee of 00483290=CSimpleTexture::GetImageModePixelShader
0068a4c0	annotated	CGxDevice::AdapterMonitorModes	tag in src/gx/CGxDevice.cpp
0068da10	string	WindowClassCreate	score 0.67 shared BlizzardCursor.cur; BlizzardIcon.ico
0068ed80	string	CGxDeviceD3d::ILoadD3dLib	unique "CGxDeviceD3d::ILoadD3dLib(): unable to GetProcAddress()"
006904d0	string	CGxDeviceD3d::DeviceSetFormat	unique "CGxDeviceD3d::DeviceSetFormat():"
006909a0	override	CGxDeviceGLES::ISetCaps	
0069ed50	string	CGxDeviceGLL::PatchVertexShader	unique " [%d..%d]%n"
006a3810	annotated	CGxDeviceD3d::IStateSyncEnables	tag in src/gx/d3d/CGxDeviceD3d.cpp
006a3870	override	CGxDeviceD3d::IStateSyncClipPlanes	
006a38d0	override	CGxDeviceD3d::IStateSyncScissorRect	
006a39e0	override	CGxDeviceD3d::ISetVertexBuffer	
006a43d0	override	CGxDeviceD3d::IStateSyncLights	
006a4700	override	CGxDeviceD3d::IStateSyncMaterial	
006a4850	override	CGxDeviceD3d::IStateSyncXforms	
006a5540	callgraph	CGxDeviceD3d::ICreateD3dVertexDecl	only unmatched callee of 006a5700=CGxDeviceD3d::IStateSyncVertexPtrs
006a5700	override	CGxDeviceD3d::IStateSyncVertexPtrs	
006a5940	override	CGxDeviceD3d::IStateSync	
006a99e0	override	CGxDeviceD3d::IXformSetViewport	
006a9fe0	override	CGxDeviceD3d::IShaderConstantsFlush	
006acc50	annotated	LerpColor	tag in lib/typhoon/tempest/ColorConvert.cpp
006b0970	callgraph	ClientServices::IsConnected	only unmatched callee of 004dda50=Script_IsConnectedToServer
006b0990	callgraph	ClientServices::LoginConnection	only unmatched callee of 004de450=Script_RealmListUpdateRate, 00530f20=Script_IsBNLogin
006b0b50	annotated	ClientServices::Send	tag in src/client/ClientServices.cpp
006b0b80	override	ClientServices::SetMessageHandler	
006b0bc0	annotated	ClientServices::ClearMessageHandler	tag in src/client/ClientServices.cpp
006b0bf0	string	ClientServices::InitLoginServerCVars	unique "%srealmlist.wtf"
006b0dc0	string	ClientServices::GetSelectedRealmName	score 0.75 shared Last realm connected to; realmName
006b0e10	callorder	ClientServices::GetRealmList	same slot between linked calls in 004d9610=CGlueMgr::GetRealmList
006b0ed0	override	ClientServices::GetInstance	
006b0f40	override	ClientServices::GetErrorToken	
006b0f90	callorder	ValidateName	same slot between linked calls in 004dfca0=Script_GetRandomName
006b0fe0	override	ClientServices::SetAccountName	
006b1020	override	ClientServices::SetCharacterInfo	
006b1050	annotated	CGPlayer_C::GetLocalPlayerInfo	tag in src/object/client/CGPlayer_C.cpp
006b1060	annotated	CGPlayer_C::GetLocalPlayerName	tag in src/object/client/CGPlayer_C.cpp
006b1070	annotated	CGPlayer_C::GetLocalPlayerRace	tag in src/object/client/CGPlayer_C.cpp
006b1080	annotated	CGPlayer_C::GetLocalPlayerClass	tag in src/object/client/CGPlayer_C.cpp
006b1090	annotated	CGPlayer_C::GetLocalPlayerSex	tag in src/object/client/CGPlayer_C.cpp
006b10a0	annotated	CGPlayer_C::GetLocalPlayerLevel	tag in src/object/client/CGPlayer_C.cpp
006b1620	annotated	ClientConnection::CreateCharacter	tag in src/net/connection/ClientConnection.cpp
006b1a70	annotated	ClientConnection::DeleteCharacter	tag in src/net/connection/ClientConnection.cpp
006b3450	string	Script_Stub_GetFriendInfo	score 0.50 shared GetFriendInfo
006bd550	annotated	GxuFontGetStringPosition	tag in src/gx/font/GxuFont.cpp
006bdfc0	callgraph	GxuFontDestroyString	only unmatched callee of 00763d80=CONSOLELINE::~CONSOLELINE
006be2b0	string	GxuFontCreateString	unique "vertJustification < GxVJ_Last"
006c0ac0	callgraph	PixelToScreenHeight	only unmatched callee of 006c2280=Sub6C2280
006c2280	annotated	Sub6C2280	tag in src/gx/Font.cpp
006c75e0	callgraph	CGxString::Recycle	only unmatched callee of 006bdfc0=GxuFontDestroyString
006c8e70	override	TEXTURECACHE::PasteGlyphOutlinedMonochrome	
006c9330	override	TEXTURECACHE::PasteGlyphNonOutlinedMonochrome	
006c9420	override	TEXTURECACHE::PasteGlyphOutlinedAA	
006c9c70	override	TEXTURECACHE::PasteGlyphNonOutlinedAA	
006ca050	string	TEXTURECACHE::CreateTexture	unique "GxuFont"
006cef10	callgraph	WowClientDB<AreaTableRec>::GetRecord	only unmatched callee of 00516b20=Script_GetBindLocation
006cfe70	handler	ReceiveEmote	SetMessageHandler(SMSG_EMOTE) on both sides
006d46d0	annotated	CGPartyInfo::SendLootSettings	tag in src/ui/game/CGPartyInfo.cpp
006d5c30	callgraph	Player_C_GetDisplayId	only unmatched callee of 006dc810=Player_C_GetModelName
006d7f10	handler	ReceiveQuestgiverStatus	SetMessageHandler(SMSG_QUESTGIVER_STATUS) on both sides
006d8750	handler	ReceiveActionButtons	SetMessageHandler(SMSG_UPDATE_ACTION_BUTTONS) on both sides
006d8870	annotated	ReceiveGroupList	tag in src/ui/game/CGPartyInfo.cpp
006dc810	string	Player_C_GetModelName	unique "Error, unknown displayInfo %d specified for player race %d s"
006df050	handler	ReceiveInitialSpells	SetMessageHandler(SMSG_SEND_KNOWN_SPELLS) on both sides
006e2e90	handler	InventoryChangeFailureHandler	SetMessageHandler(SMSG_INVENTORY_CHANGE_FAILURE) on both sides
006e7840	handler	ReceiveRemovedSpell	SetMessageHandler(SMSG_UNLEARNED_SPELLS) on both sides
006e7d60	handler	ReceiveLearnedSpell	SetMessageHandler(SMSG_LEARNED_SPELL) on both sides
006f7a60	annotated	CMath::SinCos	tag in lib/typhoon/tempest/math/CMath.cpp
00705a80	sticky	WowClientDB<ChrRacesRec>::GetRecord	held from the previous run, where it was sticky
00706d70	annotated	ItemNameFromEntry	tag in src/object/client/ItemLink.cpp
0070aa00	override	ItemDisplayIcon	
007153e0	annotated	CGUnit_C::GetCreatureFamily	tag in src/object/client/CGUnit_C.cpp
