# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_00973a80 @ 00973a80 size=67
FUN_0097 | FUN_00973ad0 @ 00973ad0 size=55
FUN_0097 | FUN_00973b10 @ 00973b10 size=185
FUN_0097 | FUN_00973bd0 @ 00973bd0 size=106
FUN_0097 | FUN_00973c40 @ 00973c40 size=88
FUN_0097 | FUN_00973ca0 @ 00973ca0 size=94
FUN_0097 | FUN_00973d00 @ 00973d00 size=25
FUN_0097 | FUN_00973d20 @ 00973d20 size=32
FUN_0097 | FUN_00973d40 @ 00973d40 size=37
FUN_0097 | FUN_00973d70 @ 00973d70 size=83
FUN_0097 | FUN_00973dd0 @ 00973dd0 size=83
FUN_0097 | FUN_00973e30 @ 00973e30 size=97
FUN_0097 | FUN_00973ea0 @ 00973ea0 size=83
FUN_0097 | FUN_00973f00 @ 00973f00 size=83
FUN_0097 | FUN_00973f60 @ 00973f60 size=83
FUN_0097 | FUN_00973fc0 @ 00973fc0 size=83
FUN_0097 | FUN_00974020 @ 00974020 size=83
FUN_0097 | FUN_00974080 @ 00974080 size=83
FUN_0097 | FUN_009740e0 @ 009740e0 size=83
FUN_0097 | FUN_00974140 @ 00974140 size=83
FUN_0097 | FUN_009741a0 @ 009741a0 size=83
FUN_0097 | FUN_00974200 @ 00974200 size=83
FUN_0097 | FUN_00974260 @ 00974260 size=83
FUN_0097 | FUN_009742c0 @ 009742c0 size=83
FUN_0097 | FUN_00974320 @ 00974320 size=83
FUN_0097 | FUN_00974380 @ 00974380 size=185
FUN_0097 | FUN_00974440 @ 00974440 size=106
FUN_0097 | FUN_009744b0 @ 009744b0 size=83
FUN_0097 | FUN_00974510 @ 00974510 size=83
FUN_0097 | FUN_00974570 @ 00974570 size=68
FUN_0097 | FUN_009745c0 @ 009745c0 size=94
FUN_0097 | FUN_00974620 @ 00974620 size=125
FUN_0097 | FUN_009746a0 @ 009746a0 size=67
FUN_0097 | FUN_009746f0 @ 009746f0 size=125
FUN_0097 | FUN_00974770 @ 00974770 size=67
FUN_0097 | FUN_009747c0 @ 009747c0 size=196
FUN_0097 | FUN_00974890 @ 00974890 size=55
FUN_0097 | FUN_009748d0 @ 009748d0 size=25
